Food_Name,Juan
鹿肾羹,JuanDiErShiLiaoZhuBing
羊肉羹,JuanDiErShiLiaoZhuBing
鹿蹄汤,JuanDiErShiLiaoZhuBing
鹿角酒,JuanDiErShiLiaoZhuBing
黑牛髓煎,JuanDiErShiLiaoZhuBing
狐肉汤,JuanDiErShiLiaoZhuBing
乌鸡汤,JuanDiErShiLiaoZhuBing
醍醐酒,JuanDiErShiLiaoZhuBing
山药,JuanDiErShiLiaoZhuBing
山药粥,JuanDiErShiLiaoZhuBing
酸枣粥,JuanDiErShiLiaoZhuBing
生地黄粥,JuanDiErShiLiaoZhuBing
椒面羹,JuanDiErShiLiaoZhuBing
荜拨粥,JuanDiErShiLiaoZhuBing
良姜粥,JuanDiErShiLiaoZhuBing
吴茱萸粥,JuanDiErShiLiaoZhuBing
牛肉脯,JuanDiErShiLiaoZhuBing
莲子粥,JuanDiErShiLiaoZhuBing
鸡头粥,JuanDiErShiLiaoZhuBing
鸡头粉羹,JuanDiErShiLiaoZhuBing
桃仁粥,JuanDiErShiLiaoZhuBing
生地黄粥,JuanDiErShiLiaoZhuBing
鲫鱼羹,JuanDiErShiLiaoZhuBing
炒黄面,JuanDiErShiLiaoZhuBing
乳饼面,JuanDiErShiLiaoZhuBing
炙黄鸡,JuanDiErShiLiaoZhuBing
牛奶子煎荜拨法,JuanDiErShiLiaoZhuBing
肉羹,JuanDiErShiLiaoZhuBing
黄雌鸡,JuanDiErShiLiaoZhuBing
青鸭羹,JuanDiErShiLiaoZhuBing
萝卜粥,JuanDiErShiLiaoZhuBing
野鸡羹,JuanDiErShiLiaoZhuBing
鹁鸽羹,JuanDiErShiLiaoZhuBing
鸡子黄,JuanDiErShiLiaoZhuBing
葵菜羹,JuanDiErShiLiaoZhuBing
鲤鱼汤,JuanDiErShiLiaoZhuBing
马齿菜粥,JuanDiErShiLiaoZhuBing
小麦粥,JuanDiErShiLiaoZhuBing
驴头羹,JuanDiErShiLiaoZhuBing
驴肉汤,JuanDiErShiLiaoZhuBing
狐肉羹,JuanDiErShiLiaoZhuBing
熊肉羹,JuanDiErShiLiaoZhuBing
乌鸡酒,JuanDiErShiLiaoZhuBing
羊肚羹,JuanDiErShiLiaoZhuBing
葛粉羹,JuanDiErShiLiaoZhuBing
荆芥粥,JuanDiErShiLiaoZhuBing
麻子粥,JuanDiErShiLiaoZhuBing
恶实菜,JuanDiErShiLiaoZhuBing
乌驴皮汤,JuanDiErShiLiaoZhuBing
羊头脍,JuanDiErShiLiaoZhuBing
野猪,JuanDiErShiLiaoZhuBing
獭肝羹,JuanDiErShiLiaoZhuBing
鲫鱼羹,JuanDiErShiLiaoZhuBing
